Conshy BLE Database

BLE APB Information
-------------------
AP Name            AP Group     BLE MAC            BLE Cur. Bank   BLE Opp. Bank  AP Eth MAC         AP IP             Reported at           ConfigID  Status     
-------            --------     -------            -------------   -------------  ----------         -----             -----------           --------  ------     
d0:d3:e0:c1:f7:b0  ABC-OFFICES  20:4c:03:b4:cd:8a  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f7:b0  10.11.3.234:8514  2021-08-04 08:28:38   1         Current    
WCHQ-AP-6W1        ABC-OFFICES  20:4c:03:b4:ce:e4  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f7:a8  10.11.3.249:8514  2021-08-04 08:27:05   1         Current    
d0:d3:e0:c1:fa:40  default      20:4c:03:b4:cf:71  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:40  10.11.3.185:8514  2021-07-13 10:39:29   0         OutOfDate  
d0:d3:e0:c1:fb:b8  default      20:4c:03:b4:cf:93  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:b8  10.11.3.200:8514  2021-07-12 12:47:48   0         OutOfDate  
d0:d3:e0:c1:f8:88  ABC-OFFICES  20:4c:03:b4:d0:c1  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:88  10.11.3.198:8514  2021-08-04 08:28:22   1         Current    
d0:d3:e0:c1:fa:f8  ABC-OFFICES  20:4c:03:b4:cf:99  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:f8  10.11.2.149:8514  2021-08-04 08:27:52   1         Current    
d0:d3:e0:c1:fa:c8  ABC-OFFICES  20:4c:03:b4:ce:29  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fa:c8  10.11.2.172:8514  2021-08-04 08:27:14   1         Current    
d0:d3:e0:c1:f9:98  ABC-OFFICES  20:4c:03:b4:ce:cc  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:98  10.11.3.244:8514  2021-06-18 07:13:29   0         OutOfDate  
d0:d3:e0:c1:f8:50  ABC-OFFICES  20:4c:03:b4:d0:2f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:50  10.11.2.162:8514  2021-06-08 17:24:36   0         OutOfDate  
WCHQ-AP-6W4        ABC-OFFICES  20:4c:03:b4:d0:80  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f9:08  10.11.3.254:8514  2021-08-04 08:28:40   1         Current    
d0:d3:e0:c1:fb:58  ABC-OFFICES  20:4c:03:b4:cd:a0  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:58  10.11.3.33:8514   2021-08-04 08:27:54   1         Current    
d0:d3:e0:c1:f8:68  ABC-OFFICES  20:4c:03:b4:cc:4f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:68  10.11.3.219:8514  2021-08-04 08:27:28   1         Current    
d0:d3:e0:c1:f8:d0  default      20:4c:03:b4:cb:f7  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:d0  10.11.3.247:8514  2021-07-06 09:49:37   0         OutOfDate  
WCHQ-AP-9E4        ABC-OFFICES  20:4c:03:b4:d0:46  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fb:b0  10.11.3.214:8514  2021-08-04 08:27:47   1         Current    
WCHQ-AP-6W3        ABC-OFFICES  20:4c:03:b4:cd:2f  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:f8:e0  10.11.2.132:8514  2021-06-08 17:00:08   0         OutOfDate  
d0:d3:e0:c1:ff:f0  ABC-OFFICES  20:4c:03:b4:cd:ba  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:f0  10.11.3.187:8514  2021-08-04 08:27:32   1         Current    
WCHQ-AP-9E6        ABC-OFFICES  20:4c:03:b4:cc:34  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:40  10.11.3.209:8514  2021-08-04 08:27:49   1         Current    
d0:d3:e0:c1:ff:78  ABC-OFFICES  20:4c:03:b4:ce:57  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:78  10.11.2.175:8514  2021-08-04 08:28:41   1         Current    
d0:d3:e0:c1:ff:a8  default      20:4c:03:b4:cf:24  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:a8  10.11.3.37:8514   2021-07-13 10:37:48   0         OutOfDate  
d0:d3:e0:c1:fc:20  default      20:4c:03:b4:cd:5e  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fc:20  10.11.3.190:8514  2021-07-13 10:38:30   0         OutOfDate  
d0:d3:e0:c1:ff:d0  default      20:4c:03:b4:cc:08  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:d0  10.11.3.191:8514  2021-07-13 10:37:08   0         OutOfDate  
d0:d3:e0:c1:ff:e0  ABC-OFFICES  20:4c:03:b4:cf:55  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:e0  10.11.3.50:8514   2021-08-04 08:27:55   1         Current    
d0:d3:e0:c1:ff:98  ABC-OFFICES  20:4c:03:b4:cd:0a  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:98  10.11.2.174:8514  2021-08-04 08:28:12   1         Current    
d0:d3:e0:c1:fd:48  default      20:4c:03:b4:cf:1a  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:fd:48  10.11.3.194:8514  2021-07-06 09:49:46   0         OutOfDate  
d0:d3:e0:c1:ff:80  ABC-OFFICES  20:4c:03:b4:cd:79  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:80  10.11.2.145:8514  2021-08-04 08:27:56   1         Current    
d0:d3:e0:c1:ff:b0  ABC-OFFICES  20:4c:03:b4:cd:af  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ff:b0  10.11.2.144:8514  2021-08-04 08:27:45   1         Current    
WCHQ-M-AP3         ABC-OFFICES  20:4c:03:b4:ad:63  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:b5:38  10.11.2.138:8514  2021-08-04 08:27:35   1         Current    
WCHQ-AP-6E4        ABC-OFFICES  20:4c:03:b4:aa:0d  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c1:ba:00  10.11.3.241:8514  2021-08-04 08:27:42   1         Current    
WCHQ-AP-6E7        ABC-OFFICES  20:4c:03:b4:d5:2c  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:04:2e  10.11.2.135:8514  2021-05-19 13:09:51   0         OutOfDate  
WCHQ-AP-6E3        ABC-OFFICES  20:4c:03:b4:d2:4c  DFU APP 1.3-69  DFU BL 0.0-0   d0:d3:e0:c2:07:2e  10.11.2.141:8514  2021-06-08 16:44:44   0         OutOfDate  
